price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
849000.0,,Castelo,Rua Cantor Luiz Gonzaga,140.0,4.0,5.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/65/45/27/67/360x266/2658214588.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2965452767.html
370000.0,330.0,Santa Mônica,Rua dos Uaicás,82.0,3.0,3.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/95/46/360x266/3713537834.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-santa-monica-3-quartos-82-2977309546.html
1530000.0,1100.0,Grajaú,Rua Barbosa de Resende,346.0,5.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/99/09/360x266/3605429409.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-grajau-5-quartos-346-m-sup2--2973409909.html
2490000.0,2137.0,Lourdes,Rua Alvarenga Peixoto,320.0,5.0,4.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/19/34/360x266/3605596675.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-lourdes-5-quartos-320-m-sup2-2973411934.html
250000.0,,Betânia,Rua Itamar Teixeira,57.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/93/63/360x266/3605507200.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-betania-3-quartos-57-m-sup2--2973409363.html
950000.0,,Castelo,Rua Castelo de Tordesilhas,205.0,4.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/65/26/38/81/360x266/3682252668.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2965263881.html
2239000.0,3000.0,Santo Agostinho,Rua Rodrigues Caldas,220.0,4.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/76/36/85/60/360x266/3688838155.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-santo-agostinho-4-quartos-220-2976368560.html
1850000.0,850.0,Buritis,Rua Líbero Leone,300.0,4.0,3.0,5,https://imgbr.imovelwebcdn.com/avisos/2/29/73/53/18/77/360x266/3608612474.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-buritis-4-quartos-300-m-sup2-2973531877.html
699000.0,450.0,Castelo,Rua Cecília Fonseca Coutinho,149.0,3.0,3.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/57/03/18/47/360x266/2281210572.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2957031847.html
1000000.0,600.0,Castelo,Rua Romualdo Lopes Cançado,208.0,4.0,6.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/65/74/99/21/360x266/2670074538.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2965749921.html
